RegionId,Volume,Surface Area,Aspect Ratio,Min Point,Max Point
99,6.437601682551453,18.098982451737886,1.3437601584627632,"[3.603830099105835, 7.904510021209717, 46.55160140991211]","[6.19980001449585, 9.836380004882812, 48.96500015258789]"
100,6.537529958970328,18.32821969525278,1.7903261276346198,"[23.600799560546875, 13.75220012664795, 46.82040023803711]","[26.69860076904297, 15.482500076293945, 48.787601470947266]"
101,5.785764407471609,17.4458217016758,2.2435746667981555,"[12.402400016784668, 11.618900299072266, 39.25600051879883]","[16.155899047851562, 13.291899681091309, 41.15079879760742]"
102,4.499905022197958,17.869111888399974,1.3254654298150554,"[3.7002100944519043, 3.4584500789642334, 49.51150131225586]","[6.079460144042969, 5.253479957580566, 52.72600173950195]"
103,5.621173820699502,17.084637007537605,2.3403795822408378,"[24.315099716186523, 5.012959957122803, 43.74100112915039]","[28.07080078125, 6.617700099945068, 45.62419891357422]"
104,5.562828544158159,18.08748603496885,0.4461966203374271,"[57.90019989013672, 28.147499084472656, 49.07659912109375]","[59.09980010986328, 30.836000442504883, 52.25379943847656]"
105,6.559384361828384,18.073220511358404,1.3385517351628724,"[45.700401306152344, 6.016250133514404, 30.61400032043457]","[48.199798583984375, 7.883490085601807, 32.766300201416016]"
106,5.119475475264672,16.318496904850008,1.9932812193386071,"[16.422199249267578, 8.489930152893066, 44.86640167236328]","[19.667400360107422, 10.118000030517578, 46.68220138549805]"
107,6.390941868943701,18.39158244940356,0.5347296561684973,"[56.50019836425781, 22.597400665283203, 45.36589813232422]","[57.89979934692383, 25.214799880981445, 47.95140075683594]"
108,5.92684682670906,17.37610708701094,0.9321440963650394,"[15.522199630737305, 10.605899810791016, 59.677101135253906]","[17.799800872802734, 13.049300193786621, 62.027099609375]"
109,5.814668413017089,17.279647575544924,1.1779808060247803,"[16.051700592041016, 20.533700942993164, 59.1077995300293]","[18.699800491333008, 22.781700134277344, 61.311500549316406]"
110,5.736175848190959,17.482153122125272,0.6806136398486256,"[30.90019989013672, 7.053699970245361, 23.598100662231445]","[32.69710159301758, 9.693819999694824, 26.168500900268555]"
111,3.3139908225160837,17.85079831447778,0.5667762063979278,"[47.618900299072266, 6.7442097663879395, 26.20319938659668]","[49.39950180053711, 9.88584041595459, 30.45199966430664]"
112,6.783745029346111,18.547187936176996,1.2684008811715113,"[13.400400161743164, 9.534259879728779e-05, 47.34280014038086]","[15.499799728393555, 1.6552499532699585, 50.11249923706055]"
113,4.900367842177404,16.881870067022387,0.6909345796446079,"[39.000301361083984, 3.997469902038574, 40.768699645996094]","[40.499698638916016, 6.167570114135742, 44.259700775146484]"
114,4.685208321092913,16.383830271574247,0.48158885843232396,"[20.90019989013672, 9.812979698181152, 59.78689956665039]","[22.39929962158203, 12.925800323486328, 61.99919891357422]"
115,5.310863596214912,16.228183716075947,0.8188624014866088,"[6.622099876403809, 17.188800811767578, 21.1033992767334]","[8.699799537658691, 19.72610092163086, 23.34040069580078]"
